City Name,Zone Name,CCTV Junction No.,CCTV Pole No.,CCTV LOCATION
Nagpur,Dhantoli,1,Pole 1,Open place near M.P.Bus Stand
Nagpur,Dharampeth,2,Pole 1,Opposite to old Mores college
Nagpur,Dhantoli,3,Pole 1,Zasirani chowk
Nagpur,Dhantoli,3,Pole 2,Zasirani chowk
Nagpur,Dhantoli,4,Pole 1,Munje chowk
Nagpur,Dhantoli,5,Pole 1,Manas chowk
Nagpur,Dharampeth,6,Pole 1,Akash Wani chowk
Nagpur,Dharampeth,6,Pole 2,Akash Wani chowk
Nagpur,Dharampeth,7,Pole 1,Board office square
Nagpur,Dharampeth,7,Pole 2,Board office square
Nagpur,Dhantoli,8,Pole 1,Panchshil square
Nagpur,Dhantoli,8,Pole 2,Panchshil square
Nagpur,Laxmi Nagar,9,Pole 1,Canal Road Shri Ram bhavan square
Nagpur,Dharampeth,10,Pole 1,Mories college T Point
Nagpur,Dhantoli,11,Pole 1,Jaystambh square Railway station
Nagpur,Dharampeth,12,Pole 1,R.B.I square
Nagpur,Dharampeth,12,Pole 2,R.B.I square
Nagpur,Dharampeth,13,Pole 1,GPO square
Nagpur,Dharampeth,13,Pole 2,GPO square
Nagpur,Dharampeth,14,Pole 1,RajaRani square
Nagpur,Dharampeth,14,Pole 2,RajaRani square
Nagpur,Dharampeth,15,Pole 1,MLA Hostel square
Nagpur,Dharampeth,15,Pole 2,MLA Hostel square
Nagpur,Dharampeth,16,Pole 1,Variety square
Nagpur,Dharampeth,16,Pole 2,Variety square
Nagpur,Dharampeth,16,Pole 3,Variety square
Nagpur,Dharampeth,17,Pole 1,Maharaja Bagh square
Nagpur,Dharampeth,17,Pole 2,Maharaja Bagh square
Nagpur,Dharampeth,18,Pole 1,Bhole petrol square
Nagpur,Dharampeth,18,Pole 2,Bhole petrol square
Nagpur,Dharampeth,19,Pole 1,University Library square
Nagpur,Dharampeth,19,Pole 2,University Library square
Nagpur,Dharampeth,20,Pole 1,Alankar talkies square
Nagpur,Dharampeth,20,Pole 2,Alankar talkies square
Nagpur,Laxmi Nagar,21,Pole 1,Shankar Nagar square
Nagpur,Laxmi Nagar,21,Pole 2,Shankar Nagar square
Nagpur,Dharampeth,22,Pole 1,Y Point Children park
Nagpur,Dharampeth,22,Pole 2,Y Point Children park
Nagpur,Dharampeth,23,Pole 1,Laxmi Bhavan square
Nagpur,Dharampeth,23,Pole 2,Laxmi Bhavan square
Nagpur,Laxmi Nagar,24,Pole 1,Gyara Majali Building
Nagpur,Laxmi Nagar,24,Pole 2,Gyara Majali Building
Nagpur,Laxmi Nagar,25,Pole 1,Lendra park T point
Nagpur,Laxmi Nagar,26,Pole 1,Kachipura square
Nagpur,Laxmi Nagar,26,Pole 2,Kachipura square
Nagpur,Dharampeth,27,Pole 1,Futala lake open place
Nagpur,Laxmi Nagar,28,Pole 1,Ambazari Talav area
Nagpur,Dharampeth,29,Pole 1,Telankhadi Garden open place
Nagpur,Laxmi Nagar,30,Pole 1,Ambazari T point
Nagpur,Dharampeth,31,Pole 1,Juna Amravati Naka
Nagpur,Dharampeth,32,Pole 1,Ravi nagar square
Nagpur,Dharampeth,32,Pole 2,Ravi nagar square
Nagpur,Dharampeth,33,Pole 1,Futala lake y point
Nagpur,Dharampeth,34,Pole 1,Futala lake vadache jhad point
Nagpur,Dharampeth,35,Pole 1,Ram nagar square
Nagpur,Dharampeth,35,Pole 2,Ram nagar square
Nagpur,Dharampeth,35,Pole 3,Ram nagar square
Nagpur,Dharampeth,36,Pole 1,Bajaj nagar square
Nagpur,Dharampeth,36,Pole 2,Bajaj nagar square
Nagpur,Dharampeth,37,Pole 1,LAD Square
Nagpur,Dharampeth,37,Pole 2,LAD Square
Nagpur,Dharampeth,38,Pole 1,Ladies Club square
Nagpur,Dharampeth,38,Pole 2,Ladies Club square
Nagpur,Dharampeth,39,Pole 1,LAW College square
Nagpur,Dharampeth,39,Pole 2,LAW College square
Nagpur,Dharampeth,40,Pole 1,Coffee house square
Nagpur,Laxmi Nagar,41,Pole 1,Bajaj nagar
Nagpur,Laxmi Nagar,42,Pole 1,Opp Wockhart Hospital
Nagpur,Dharampeth,43,Pole 1,Bharat nagar T Point
Nagpur,Dharampeth,43,Pole 2,Bharat nagar T Point
Nagpur,Dharampeth,44,Pole 1,Near Madrasi Mandir
Nagpur,Dharampeth,45,Pole 1,Pandharbodi
Nagpur,Dharampeth,46,Pole 1,Gokulpeth market
Nagpur,Laxmi Nagar,47,Pole 1,Abhyankar Nagar Road
Nagpur,Dharampeth,48,Pole 1,Telankhedi Area
Nagpur,Dharampeth,49,Pole 1,Ambazari Bay Bas Road
Nagpur,Laxmi Nagar,50,Pole 1,Shivaji Nagar Gardan
Nagpur,Dharampeth,51,Pole 1,Shivaji Nagar Basket ball ground
Nagpur,Laxmi Nagar,52,Pole 1,Near carzy casal
Nagpur,Laxmi Nagar,53,Pole 1,Esasni Area
Nagpur,Laxmi Nagar,54,Pole 1,Waghdhara Area
Nagpur,Laxmi Nagar,55,Pole 1,SRPF Gate No.2
Nagpur,Laxmi Nagar,56,Pole 1,Yashodhara nagar t point hingna road
Nagpur,Laxmi Nagar,57,Pole 1,Gadge nagar t point hingna road
Nagpur,Laxmi Nagar,58,Pole 1,SRPF Geat petrol pump bansi nagar hingna road
Nagpur,Laxmi Nagar,59,Pole 1,Deshmukh treding company t point hingna road
Nagpur,Laxmi Nagar,60,Pole 1,Sent zeviyrs school t point hingana road
Nagpur,Laxmi Nagar,61,Pole 1,CRPF gate t point hingana road
Nagpur,Laxmi Nagar,62,Pole 1,IC Chowk t point hingana road
Nagpur,Laxmi Nagar,63,Pole 1,Zone chowk hingana road
Nagpur,Laxmi Nagar,63,Pole 2,Zone chowk hingana road
Nagpur,Laxmi Nagar,64,Pole 1,Rajiv nagar road hingna road
Nagpur,Laxmi Nagar,65,Pole 1,Ycce college main gate hingana road
Nagpur,Laxmi Nagar,66,Pole 1,Wanadongri t point
Nagpur,Dharampeth,67,Pole 1,Khadgaon Road
Nagpur,Dharampeth,68,Pole 1,Wadi Naka No.10
Nagpur,Dharampeth,69,Pole 1,Control Wadi
Nagpur,Dharampeth,70,Pole 1,MIDC Tarnign
Nagpur,Dharampeth,71,Pole 1,Katol Road BayPass
Nagpur,Dharampeth,72,Pole 1,KhadGaon Road tarnign
Nagpur,Dharampeth,73,Pole 1,Dattawadi Square
Nagpur,Dharampeth,74,Pole 1,Dattawadi Sarafa Bazar
Nagpur,Dharampeth,75,Pole 1,GuruDatta Socity
