CCTV Junction No.,camera_count,location,latitude,longitude,traffic_volume,average_speed,accident_count,pedestrian_density,congestion_level,weather_risk,night_time_risk,officer_present,speed_risk,traffic_volume_norm,accident_count_norm,pedestrian_density_norm,congestion_level_norm,weather_risk_norm,night_time_risk_norm,speed_risk_norm,risk_score,risk_category,risk_reason
1,1,Open place near M.P.Bus Stand,21.144944814261684,79.14849403485849,1119,36,6,37,7,5,3,1,4,0.13600891861761427,0.6666666666666666,0.30337078651685395,0.6666666666666666,1.0,0.6,0.13793103448275862,46.65,MEDIUM,Weather-related risk
2,1,Opposite to old Mores college,21.21408571676919,79.04835307674621,1774,62,3,25,3,4,3,1,22,0.28205128205128205,0.3333333333333333,0.16853932584269662,0.2222222222222222,0.8,0.6,0.7586206896551724,36.09,LOW,"Unsafe speed pattern, Weather-related risk"
3,2,Zasirani chowk,21.18783927301737,79.1214811668782,1456,16,5,46,5,0,4,0,24,0.21114827201783723,0.5555555555555556,0.4044943820224719,0.4444444444444444,0.0,0.8,0.8275862068965517,45.9,MEDIUM,Unsafe speed pattern
4,1,Munje chowk,21.171839018103647,79.03819609821457,2439,24,4,30,1,0,3,0,16,0.43032329988851725,0.4444444444444444,0.2247191011235955,0.0,0.0,0.6,0.5517241379310345,33.83,LOW,No major risk factors
5,1,Manas chowk,21.118722236853095,79.1022254083336,4453,48,4,88,10,3,1,0,8,0.8793756967670011,0.4444444444444444,0.8764044943820225,1.0,0.6,0.2,0.27586206896551724,65.83,MEDIUM,"Heavy traffic volume, High congestion, High pedestrian density"
6,2,Akash Wani chowk,21.118719342440347,79.11403417898346,2881,30,7,26,10,0,0,1,10,0.5288740245261985,0.7777777777777778,0.1797752808988764,1.0,0.0,0.0,0.3448275862068966,55.06,MEDIUM,"High incident risk, High congestion"
7,2,Board office square,21.106970033460186,79.08934581109118,1468,62,2,46,10,4,1,1,22,0.21382385730211817,0.2222222222222222,0.4044943820224719,1.0,0.8,0.2,0.7586206896551724,44.6,MEDIUM,"High congestion, Unsafe speed pattern, Weather-related risk"
8,2,Panchshil square,21.203941137492993,79.07073642828253,1816,65,2,86,1,4,3,1,25,0.29141583054626535,0.2222222222222222,0.8539325842696629,0.0,0.8,0.6,0.8620689655172413,40.92,MEDIUM,"High pedestrian density, Unsafe speed pattern, Weather-related risk"
9,1,Canal Road Shri Ram bhavan square,21.172133801409185,79.0617761371221,1543,53,5,28,5,4,5,1,13,0.230546265328874,0.5555555555555556,0.20224719101123595,0.4444444444444444,0.8,1.0,0.4482758620689655,44.46,MEDIUM,Weather-related risk
10,1,Mories college T Point,21.18496870933553,79.05233023998144,781,36,4,39,10,1,0,0,4,0.06064659977703456,0.4444444444444444,0.3258426966292135,1.0,0.2,0.0,0.13793103448275862,36.81,LOW,High congestion
11,1,Jaystambh square Railway station,21.102470139315496,79.13942937163718,3344,26,3,54,9,4,1,1,14,0.6321070234113713,0.3333333333333333,0.4943820224719101,0.8888888888888888,0.8,0.2,0.4827586206896552,53.22,MEDIUM,"High congestion, Weather-related risk"
12,2,R.B.I square,21.21638918225944,79.12459291116816,1558,38,2,27,1,4,4,0,2,0.2338907469342252,0.2222222222222222,0.19101123595505617,0.0,0.8,0.8,0.06896551724137931,22.9,LOW,Weather-related risk
13,2,GPO square,21.199893116896053,79.14475403659998,4793,61,4,87,1,1,1,0,21,0.9551839464882943,0.4444444444444444,0.8651685393258427,0.0,0.2,0.2,0.7241379310344828,54.66,MEDIUM,"Heavy traffic volume, High pedestrian density, Unsafe speed pattern"
14,2,RajaRani square,21.125480693281396,79.01864458352283,3032,54,4,71,4,5,5,1,14,0.5625418060200669,0.4444444444444444,0.6853932584269663,0.3333333333333333,1.0,1.0,0.4827586206896552,54.69,MEDIUM,Weather-related risk
15,2,MLA Hostel square,21.121818996064853,79.10963012128055,4328,52,5,45,4,2,3,0,12,0.8515050167224081,0.5555555555555556,0.39325842696629215,0.3333333333333333,0.4,0.6,0.41379310344827586,53.73,MEDIUM,Heavy traffic volume
16,3,Variety square,21.122008541182414,79.14075106852316,1508,24,1,93,2,0,0,0,16,0.22274247491638796,0.1111111111111111,0.9325842696629213,0.1111111111111111,0.0,0.0,0.5517241379310345,28.96,LOW,High pedestrian density
17,2,Maharaja Bagh square,21.136509069155146,79.02718495992485,1729,49,2,61,9,4,4,0,9,0.27201783723522854,0.2222222222222222,0.5730337078651685,0.8888888888888888,0.8,0.8,0.3103448275862069,45.14,MEDIUM,"High congestion, Weather-related risk"
18,2,Bhole petrol square,21.16297077179587,79.00997444010501,1535,65,1,28,9,0,0,0,25,0.22876254180602007,0.1111111111111111,0.20224719101123595,0.8888888888888888,0.0,0.0,0.8620689655172413,32.9,LOW,"High congestion, Unsafe speed pattern"
19,2,University Library square,21.151833402237056,79.1111680973935,775,63,4,53,2,3,4,1,23,0.059308807134894094,0.4444444444444444,0.48314606741573035,0.1111111111111111,0.6,0.8,0.7931034482758621,38.36,LOW,Unsafe speed pattern
